Task Name,Parent Task,Level,Dataset Count,Description,Benchmarks,Metrics,Children Count
Speech Separation,,0,16,,TCD-TIMIT corpus (mixed-speech); Libri20Mix; Libri10Mix; WSJ0-2mix; Libri5Mix; WSJ0-5mix; GRID corpus (mixed-speech); iKala; Libri15Mix; VoxCeleb2,,0
Audio Source Separation,,0,15,,MUSIC (multi-source); AudioSet,,3
Music Transcription,,0,14,,URMP; MAPS; MusicNet; Slakh2100; SMD Piano; MAESTRO,,0
Speaker Verification,,0,12,,VibraVox (throat microphone); CALLHOME; VibraVox (temple vibration pickup); VoxCeleb1; VoxCeleb2; VibraVox (headset microphone); VoxCeleb; VibraVox (soft in-ear microphone); VibraVox (forehead accelerometer); VibraVox (rigid in-ear microphone),,0
Speaker Diarization,,0,11,,DIHARD; DIHARD3-eval; AMI; CALLHOME; call_home_american_english_speech; AMI MixHeadset; AMI Lapel; CH109; Hub5'00 CallHome; NIST-SRE 2000,,0
Music Modeling,,0,6,,JSB Chorales; Nottingham,,0
Multi-instrument Music Transcription,,0,6,,,,0
Voice Anti-spoofing,,0,6,,ASVspoof2019; ASVspoof 2019 - LA; ASVspoof 2019 - PA,,0
Audio captioning,,0,5,,Clotho; AudioCaps,,2
Music Captioning,,0,5,,,,0
Speaker Identification,,0,4,,EVI en-GB; VoxCeleb1; EVI fr-FR; EVI pl-PL,,0
Speaker Separation,,0,3,,,,0
Multi-task Audio Source Seperation,,0,3,,,,0
Audio Signal Processing,,0,2,,,,3
Rhythm,,0,2,,,,0
Piano Music Modeling,,0,2,,,,0
Drum Transcription in Music (DTM),,0,2,,,,0
Salt-And-Pepper Noise Removal,,0,1,,,,0
Cross-environment ASR,,0,1,,,,0
Cross-device ASR,,0,1,,,,0
Noise Estimation,,0,1,,SIDD,,0
Soundscape evaluation,,0,1,,,,0
"Speaker Attribution in German Parliamentary Debates (GermEval 2023, subtask 1)",,0,1,,GePaDe,,0
"Speaker Attribution in German Parliamentary Debates (GermEval 2023, subtask 2)",,0,1,,GePaDe,,0
Acoustic Modelling,,0,1,,,,0
Speaker Profiling,,0,1,,,,0
"1 Image, 2*2 Stitchi",,0,0,,,,10
10-shot image generation,,0,0,,,,10
2D Classification,,0,0,,,,10
2D Semantic Segmentation,,0,0,,,,10
3D Human Dynamics,,0,0,,,,1
3D Human Pose Tracking,,0,0,,,,1
Audio Generation,,0,0,,,,4
Audio Signal Recognition,,0,0,,,,1
Bird Classification,,0,0,,,,2
Classification,,0,0,,,,10
DeepFake Detection,,0,0,,,,5
Emotion Recognition,,0,0,,,,10
Few-Shot Learning,,0,0,,,,10
Hearing Aid and device processing,,0,0,,,,2
Instance Search,,0,0,,,,1
Language Identification,,0,0,,,,2
Online Beat Tracking,,0,0,,,,1
Signal Processing,,0,0,,,,1
Speech Enhancement,,0,0,,,,4
Speech Recognition,,0,0,,,,10
Text to Audio Retrieval,,0,0,,,,1
Text-To-Speech Synthesis,,0,0,,,,2
Recognizing Seven Different Dastgahs Of Iranian Classical Music,,0,0,,,,0
Audio declipping,,0,0,,,,0
Audio Dequantization,,0,0,,,,0
Speaker Orientation,,0,0,,,,0
Hate Speech Normalization,,0,0,,,,0
Speech Representation Learning,,0,0,,,,0
Semi-Supervised Audio Regression,,0,0,,,,0
Speaker anonymization,,0,0,,,,0
Music Source Separation,2D Classification,1,9,,MUSDB18; MUSDB18-HQ; Slakh2100,,0
Voice Conversion,"1 Image, 2*2 Stitchi",1,8,,LibriSpeech test-clean; ZeroSpeech 2019 English; VCTK,,0
Voice Conversion,2D Classification,1,8,,LibriSpeech test-clean; ZeroSpeech 2019 English; VCTK,,0
Speech Dereverberation,Speech Enhancement,1,6,,,,0
Voice Cloning,Audio Generation,1,2,,,,0
Audio Fingerprint,Instance Search,1,1,,,,0
Pose Estimation,"1 Image, 2*2 Stitchi",1,0,,,,0
Style Transfer,"1 Image, 2*2 Stitchi",1,0,,,,0
Text-to-Image Generation,"1 Image, 2*2 Stitchi",1,0,,,,0
Music Generation,"1 Image, 2*2 Stitchi",1,0,,,,3
Image Deblurring,"1 Image, 2*2 Stitchi",1,0,,,,0
Virtual Try-on,"1 Image, 2*2 Stitchi",1,0,,,,0
Talking Face Generation,"1 Image, 2*2 Stitchi",1,0,,,,0
Image to Video Generation,"1 Image, 2*2 Stitchi",1,0,,,,0
Pneumonia Detection,"1 Image, 2*2 Stitchi",1,0,,,,0
Semantic Segmentation,10-shot image generation,1,0,,,,0
Decoder,10-shot image generation,1,0,,,,0
