Task Name,Dataset Count
Question Answering,416
Classification,222
Text Classification,167
Language Modelling,166
Text Generation,162
Sentiment Analysis,105
Text Summarization,98
Domain Adaptation,96
Reading Comprehension,95
Machine Translation,83
Natural Language Inference,81
Node Classification,76
Natural Language Understanding,72
Code Generation,70
Common Sense Reasoning,56
Recommendation Systems,56
Graph Classification,54
Word Embeddings,53
Knowledge Graphs,46
Few-Shot Learning,45
Coreference Resolution,45
Audio Classification,43
Zero-Shot Learning,43
Machine Reading Comprehension,43
Unsupervised Domain Adaptation,34
Dialogue Generation,34
Music Generation,33
Domain Generalization,31
Multi-Label Classification,30
Slot Filling,28
Document Summarization,28
NER,27
Part-Of-Speech Tagging,26
Open-Domain Question Answering,26
Mathematical Reasoning,26
Question Generation,25
Data-to-Text Generation,24
Relation Classification,23
Math Word Problem Solving,23
Task-Oriented Dialogue Systems,22
Text-To-SQL,21
Text Simplification,20
Style Transfer,20
Language Identification,20
Time Series Classification,19
Transfer Learning,18
Paraphrase Identification,18
Document Classification,18
Logical Reasoning,18
Paraphrase Generation,17
Sign Language Translation,17
Binary Classification,17
Translation,17
Zero-shot Text Search,16
Knowledge Graph Completion,16
Word Sense Disambiguation,16
Token Classification,15
Dependency Parsing,15
Sentiment Classification,15
Knowledge Base Question Answering,15
Node Classification on Non-Homophilic (Heterophilic) Graphs,15
Hierarchical Multi-label Classification,15
Multi-Document Summarization,15
Cross-Lingual Transfer,15
Sentence Classification,14
Code Search,14
Spoken Language Understanding,14
Intent Classification,14
Multi-class Classification,14
Multi-Label Text Classification,13
Document Layout Analysis,13
Relational Reasoning,12
News Classification,12
Code Completion,12
Generalizable Person Re-identification,11
Sequential Recommendation,11
Audio Generation,11
Synthetic Data Generation,11
Opinion Mining,11
Sentence Embeddings,11
Mathematical Question Answering,11
Chatbot,11
Multimodal Reasoning,11
Generalized Zero-Shot Learning,10
Conversational Question Answering,10
Robust classification,10
Topic Classification,10
Audio Tagging,10
Discourse Parsing,10
Citation Recommendation,10
Music Classification,10
Binary text classification,10
Handwriting generation,10
Code Translation,10
Text-to-Code Generation,10
Conversational Response Generation,10
Large Language Model,10
Explanation Generation,9
